SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,P(Iris-setosa/Info),P(Iris-versicolor/Info),P(Iris-virginica/Info),Pred,Pred Name,Correct Pred,,,,,
5.1,3.3,1.7,0.5,Iris-setosa,0.070529591,2.10032E-12,5.45567E-20,0.070529591,Iris-setosa,1,,,,,
4.8,3.4,1.9,0.2,Iris-setosa,0.110194251,1.99647E-15,1.68726E-22,0.110194251,Iris-setosa,1,,,,,
5,3,1.6,0.2,Iris-setosa,1.239115558,8.23433E-16,2.1926E-23,1.239115558,Iris-setosa,1,,,,,
5,3.4,1.6,0.4,Iris-setosa,0.85265645,2.72827E-14,8.9314E-22,0.85265645,Iris-setosa,1,,,,,
5.2,3.5,1.5,0.2,Iris-setosa,2.527772999,3.95064E-17,3.26384E-24,2.527772999,Iris-setosa,1,,,,,
5.2,3.4,1.4,0.2,Iris-setosa,2.466692473,2.20758E-17,1.34157E-24,2.466692473,Iris-setosa,1,,,,,
4.7,3.2,1.6,0.2,Iris-setosa,1.317601337,1.24015E-16,4.73923E-24,1.317601337,Iris-setosa,1,,,,,
4.8,3.1,1.6,0.2,Iris-setosa,1.34615432,2.84703E-16,8.84333E-24,1.34615432,Iris-setosa,1,,,,,
5.4,3.4,1.5,0.4,Iris-setosa,0.607565799,2.41421E-14,9.47597E-22,0.607565799,Iris-setosa,1,,,,,
5.2,4.1,1.5,0.1,Iris-setosa,0.230104364,3.6728E-21,2.31284E-27,0.230104364,Iris-setosa,1,,,,,
5.5,4.2,1.4,0.2,Iris-setosa,0.130982546,9.91436E-21,5.85049E-27,0.130982546,Iris-setosa,1,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,0.896403802,6.20025E-18,3.03797E-25,0.896403802,Iris-setosa,1,,,,,
5,3.2,1.2,0.2,Iris-setosa,0.8204934,2.36895E-18,7.37377E-26,0.8204934,Iris-setosa,1,,,,,
5.5,3.5,1.3,0.2,Iris-setosa,0.72006461,5.73108E-18,5.35328E-25,0.72006461,Iris-setosa,1,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,0.896403802,6.20025E-18,3.03797E-25,0.896403802,Iris-setosa,1,,,,,
4.4,3,1.3,0.2,Iris-setosa,0.245910711,1.11895E-18,2.34209E-26,0.245910711,Iris-setosa,1,,,,,
5.1,3.4,1.5,0.2,Iris-setosa,2.901641661,5.86756E-17,3.61445E-24,2.901641661,Iris-setosa,1,,,,,
5,3.5,1.3,0.3,Iris-setosa,1.824458759,2.47794E-17,1.07789E-24,1.824458759,Iris-setosa,1,,,,,
4.5,2.3,1.3,0.3,Iris-setosa,0.009000279,1.3047E-17,4.72817E-26,0.009000279,Iris-setosa,1,,,,,
4.4,3.2,1.3,0.2,Iris-setosa,0.381094207,5.72426E-19,1.83813E-26,0.381094207,Iris-setosa,1,,,,,
5,3.5,1.6,0.6,Iris-setosa,0.009696545,9.34568E-13,3.23078E-20,0.009696545,Iris-setosa,1,,,,,
5.1,3.8,1.9,0.4,Iris-setosa,0.028834639,3.9538E-14,4.97534E-21,0.028834639,Iris-setosa,1,,,,,
4.8,3,1.4,0.3,Iris-setosa,1.259512864,4.86614E-16,7.0042E-24,1.259512864,Iris-setosa,1,,,,,
5.1,3.8,1.6,0.2,Iris-setosa,1.320714126,6.87356E-18,1.21076E-24,1.320714126,Iris-setosa,1,,,,,
4.6,3.2,1.4,0.2,Iris-setosa,1.256644985,6.2834E-18,2.05139E-25,1.256644985,Iris-setosa,1,,,,,
5.3,3.7,1.5,0.2,Iris-setosa,1.616453982,9.47007E-18,1.36344E-24,1.616453982,Iris-setosa,1,,,,,
5,3.3,1.4,0.2,Iris-setosa,2.738331311,2.12413E-17,9.22521E-25,2.738331311,Iris-setosa,1,,,,,
7,3.2,4.7,1.4,Iris-versicolor,5.3514E-108,0.015608372,0.003856708,0.015608372,Iris-versicolor,1,,,,,
6.4,3.2,4.5,1.5,Iris-versicolor,5.9148E-100,0.086416588,0.005230451,0.086416588,Iris-versicolor,1,,,,,
6.9,3.1,4.9,1.5,Iris-versicolor,1.4005E-121,0.015001017,0.017565616,0.017565616,Iris-virginica,0,,,,,
5.5,2.3,4,1.3,Iris-versicolor,5.93828E-70,0.107714836,4.08251E-06,0.107714836,Iris-versicolor,1,,,,,
6.5,2.8,4.6,1.5,Iris-versicolor,2.067E-105,0.15905181,0.008311102,0.15905181,Iris-versicolor,1,,,,,
5.7,2.8,4.5,1.3,Iris-versicolor,3.64784E-89,0.433308682,0.000433158,0.433308682,Iris-versicolor,1,,,,,
6.3,3.3,4.7,1.6,Iris-versicolor,2.04E-113,0.025696538,0.013281818,0.025696538,Iris-versicolor,1,,,,,
4.9,2.4,3.3,1,Iris-versicolor,6.97843E-37,0.001178987,3.67787E-10,0.001178987,Iris-versicolor,1,,,,,
6.6,2.9,4.6,1.3,Iris-versicolor,4.80214E-97,0.170032842,0.001797609,0.170032842,Iris-versicolor,1,,,,,
5.2,2.7,3.9,1.4,Iris-versicolor,4.36513E-69,0.136276543,1.46055E-05,0.136276543,Iris-versicolor,1,,,,,
5,2,3.5,1,Iris-versicolor,6.61259E-44,0.000367224,1.15452E-10,0.000367224,Iris-versicolor,1,,,,,
5.9,3,4.2,1.5,Iris-versicolor,1.17648E-85,0.285235372,0.001186824,0.285235372,Iris-versicolor,1,,,,,
6,2.2,4,1,Iris-versicolor,2.47692E-61,0.023342799,1.76036E-07,0.023342799,Iris-versicolor,1,,,,,
6.1,2.9,4.7,1.4,Iris-versicolor,1.8004E-103,0.291469265,0.004412558,0.291469265,Iris-versicolor,1,,,,,
5.6,2.9,3.6,1.3,Iris-versicolor,3.39509E-55,0.152466922,4.57322E-06,0.152466922,Iris-versicolor,1,,,,,
6.7,3.1,4.4,1.4,Iris-versicolor,8.64992E-93,0.095283813,0.002067872,0.095283813,Iris-versicolor,1,,,,,
5.6,3,4.5,1.5,Iris-versicolor,2.29716E-97,0.204712663,0.002082203,0.204712663,Iris-versicolor,1,,,,,
5.8,2.7,4.1,1,Iris-versicolor,5.44894E-63,0.126879389,2.54692E-06,0.126879389,Iris-versicolor,1,,,,,
6.2,2.2,4.5,1.5,Iris-versicolor,3.3782E-101,0.055786873,0.000325476,0.055786873,Iris-versicolor,1,,,,,
5.6,2.5,3.9,1.1,Iris-versicolor,1.0074E-58,0.120431185,1.05257E-06,0.120431185,Iris-versicolor,1,,,,,
5.9,3.2,4.8,1.8,Iris-versicolor,1.1112E-127,0.006330541,0.033005211,0.033005211,Iris-virginica,0,,,,,
6.1,2.8,4,1.3,Iris-versicolor,2.55125E-70,0.447132308,0.000100927,0.447132308,Iris-versicolor,1,,,,,
6.3,2.5,4.9,1.5,Iris-versicolor,2.3989E-119,0.080336829,0.006553133,0.080336829,Iris-versicolor,1,,,,,
6.1,2.8,4.7,1.2,Iris-versicolor,1.16307E-95,0.276775465,0.000571399,0.276775465,Iris-versicolor,1,,,,,
6.4,2.9,4.3,1.3,Iris-versicolor,4.44804E-83,0.336129406,0.00058131,0.336129406,Iris-versicolor,1,,,,,
6.6,3,4.4,1.4,Iris-versicolor,2.52095E-92,0.165537449,0.002259012,0.165537449,Iris-versicolor,1,,,,,
6.8,2.8,4.8,1.4,Iris-versicolor,6.4884E-112,0.065617284,0.006471716,0.065617284,Iris-versicolor,1,,,,,
6.7,3,5,1.7,Iris-versicolor,1.0336E-135,0.006870573,0.079123304,0.079123304,Iris-virginica,0,,,,,
6,2.9,4.5,1.5,Iris-versicolor,1.29142E-98,0.301444059,0.004436594,0.301444059,Iris-versicolor,1,,,,,
5.7,2.6,3.5,1,Iris-versicolor,9.66809E-43,0.030013666,4.80692E-08,0.030013666,Iris-versicolor,1,,,,,
5.5,2.4,3.8,1.1,Iris-versicolor,2.21662E-55,0.062524133,2.81369E-07,0.062524133,Iris-versicolor,1,,,,,
5.5,2.4,3.7,1,Iris-versicolor,4.88437E-49,0.024503589,4.26991E-08,0.024503589,Iris-versicolor,1,,,,,
5.8,2.7,3.9,1.2,Iris-versicolor,3.83827E-62,0.318485311,1.07078E-05,0.318485311,Iris-versicolor,1,,,,,
6,2.7,5.1,1.6,Iris-versicolor,8.5632E-133,0.041655523,0.026249782,0.041655523,Iris-versicolor,1,,,,,
5.4,3,4.5,1.5,Iris-versicolor,5.08782E-97,0.147572583,0.001215638,0.147572583,Iris-versicolor,1,,,,,
6,3.4,4.5,1.6,Iris-versicolor,3.7776E-103,0.02468635,0.00357796,0.02468635,Iris-versicolor,1,,,,,
6.7,3.1,4.7,1.5,Iris-versicolor,1.0594E-110,0.046795238,0.011905765,0.046795238,Iris-versicolor,1,,,,,
6.3,2.3,4.4,1.3,Iris-versicolor,3.06595E-88,0.133789786,9.40143E-05,0.133789786,Iris-versicolor,1,,,,,
5.6,3,4.1,1.3,Iris-versicolor,2.89257E-72,0.321347511,7.64956E-05,0.321347511,Iris-versicolor,1,,,,,
5.5,2.5,4,1.3,Iris-versicolor,2.41388E-69,0.228375207,1.23113E-05,0.228375207,Iris-versicolor,1,,,,,
5.5,2.6,4.4,1.2,Iris-versicolor,4.53223E-81,0.262107377,3.90551E-05,0.262107377,Iris-versicolor,1,,,,,
6.1,3,4.6,1.4,Iris-versicolor,9.8019E-99,0.28967338,0.003358158,0.28967338,Iris-versicolor,1,,,,,
5.8,2.6,4,1.2,Iris-versicolor,5.86442E-66,0.324439552,1.32686E-05,0.324439552,Iris-versicolor,1,,,,,
5,2.3,3.3,1,Iris-versicolor,3.49822E-37,0.001114272,3.02666E-10,0.001114272,Iris-versicolor,1,,,,,
5.6,2.7,4.2,1.3,Iris-versicolor,1.19362E-76,0.430983089,8.47622E-05,0.430983089,Iris-versicolor,1,,,,,
5.7,3,4.2,1.2,Iris-versicolor,1.45433E-72,0.309618072,5.46406E-05,0.309618072,Iris-versicolor,1,,,,,
5.7,2.9,4.2,1.3,Iris-versicolor,1.66535E-76,0.451457126,0.000149371,0.451457126,Iris-versicolor,1,,,,,
6.2,2.9,4.3,1.3,Iris-versicolor,3.57081E-82,0.441746419,0.000504128,0.441746419,Iris-versicolor,1,,,,,
5.1,2.5,3,1.1,Iris-versicolor,2.44601E-32,0.001476947,4.57077E-10,0.001476947,Iris-versicolor,1,,,,,
5.7,2.8,4.1,1.3,Iris-versicolor,8.4386E-73,0.465871002,8.36727E-05,0.465871002,Iris-versicolor,1,,,,,
6.3,3.3,6,2.5,Iris-virginica,1.0462E-247,2.43555E-12,0.023622432,0.023622432,Iris-virginica,1,,,,,
5.8,2.7,5.1,1.9,Iris-virginica,3.0648E-149,0.001567877,0.055981444,0.055981444,Iris-virginica,1,,,,,
7.1,3,5.9,2.1,Iris-virginica,3.8701E-215,3.56625E-08,0.153223116,0.153223116,Iris-virginica,1,,,,,
6.3,2.9,5.6,1.8,Iris-virginica,1.178E-172,0.00038546,0.167867429,0.167867429,Iris-virginica,1,,,,,
6.5,3,5.8,2.2,Iris-virginica,2.9877E-212,6.23508E-08,0.196356475,0.196356475,Iris-virginica,1,,,,,
7.6,3,6.6,2.1,Iris-virginica,1.4555E-267,4.57161E-12,0.012007003,0.012007003,Iris-virginica,1,,,,,
4.9,2.5,4.5,1.7,Iris-virginica,5.15E-108,0.007511282,0.000216466,0.007511282,Iris-versicolor,0,,,,,
7.3,2.9,6.3,1.8,Iris-virginica,3.1746E-224,7.09484E-08,0.039812786,0.039812786,Iris-virginica,1,,,,,
6.7,2.5,5.8,1.8,Iris-virginica,7.9791E-188,3.37537E-05,0.057930503,0.057930503,Iris-virginica,1,,,,,
7.2,3.6,6.1,2.5,Iris-virginica,7.7459E-260,8.72267E-15,0.003543408,0.003543408,Iris-virginica,1,,,,,
6.5,3.2,5.1,2,Iris-virginica,8.7342E-158,7.26452E-05,0.148327086,0.148327086,Iris-virginica,1,,,,,
6.4,2.7,5.3,1.9,Iris-virginica,2.5903E-162,0.000462556,0.145516618,0.145516618,Iris-virginica,1,,,,,
6.8,3,5.5,2.1,Iris-virginica,1.1714E-188,1.51679E-06,0.243432609,0.243432609,Iris-virginica,1,,,,,
5.7,2.5,5,2,Iris-virginica,9.6369E-151,0.000300211,0.020790727,0.020790727,Iris-virginica,1,,,,,
5.8,2.8,5.1,2.4,Iris-virginica,4.7563E-185,4.25257E-08,0.030522717,0.030522717,Iris-virginica,1,,,,,
6.4,3.2,5.3,2.3,Iris-virginica,1.1531E-189,6.76004E-08,0.110306998,0.110306998,Iris-virginica,1,,,,,
6.5,3,5.5,1.8,Iris-virginica,1.3518E-167,0.000406478,0.188403198,0.188403198,Iris-virginica,1,,,,,
7.7,3.8,6.7,2.2,Iris-virginica,3.9726E-283,5.92461E-16,0.000206217,0.000206217,Iris-virginica,1,,,,,
7.7,2.6,6.9,2.3,Iris-virginica,6.9507E-307,1.05483E-15,0.000916075,0.000916075,Iris-virginica,1,,,,,
6,2.2,5,1.5,Iris-virginica,3.9125E-124,0.020803624,0.000953788,0.020803624,Iris-versicolor,0,,,,,
6.9,3.2,5.7,2.3,Iris-virginica,7.9477E-216,1.87288E-09,0.109386642,0.109386642,Iris-virginica,1,,,,,
5.6,2.8,4.9,2,Iris-virginica,8.4523E-145,0.000531241,0.034448321,0.034448321,Iris-virginica,1,,,,,
7.7,2.8,6.7,2,Iris-virginica,1.8699E-269,6.75051E-12,0.005765367,0.005765367,Iris-virginica,1,,,,,
6.3,2.7,4.9,1.8,Iris-virginica,8.546E-135,0.009449566,0.060010494,0.060010494,Iris-virginica,1,,,,,
6.7,3.3,5.7,2.1,Iris-virginica,9.6842E-200,1.92188E-07,0.147778534,0.147778534,Iris-virginica,1,,,,,
7.2,3.2,6,1.8,Iris-virginica,7.8632E-203,6.4537E-07,0.067875911,0.067875911,Iris-virginica,1,,,,,
6.2,2.8,4.8,1.8,Iris-virginica,2.824E-129,0.014172784,0.054370827,0.054370827,Iris-virginica,1,,,,,
6.1,3,4.9,1.8,Iris-virginica,1.8888E-133,0.009028734,0.070829911,0.070829911,Iris-virginica,1,,,,,
6.4,2.8,5.6,2.1,Iris-virginica,1.2393E-192,2.98416E-06,0.213805297,0.213805297,Iris-virginica,1,,,,,
7.2,3,5.8,1.6,Iris-virginica,3.2104E-179,3.77305E-05,0.0457933,0.0457933,Iris-virginica,1,,,,,
7.4,2.8,6.1,1.9,Iris-virginica,1.2823E-217,6.86934E-08,0.056561127,0.056561127,Iris-virginica,1,,,,,
7.9,3.8,6.4,2,Iris-virginica,4.808E-249,1.71905E-13,0.000368193,0.000368193,Iris-virginica,1,,,,,
6.4,2.8,5.6,2.2,Iris-virginica,7.7874E-200,3.62849E-07,0.181395681,0.181395681,Iris-virginica,1,,,,,
6.3,2.8,5.1,1.5,Iris-virginica,7.3715E-129,0.059239214,0.02397422,0.059239214,Iris-versicolor,0,,,,,
6.1,2.6,5.6,1.4,Iris-virginica,6.3223E-152,0.007290359,0.007584912,0.007584912,Iris-virginica,1,,,,,
7.7,3,6.1,2.3,Iris-virginica,4.9978E-248,3.12397E-12,0.0215736,0.0215736,Iris-virginica,1,,,,,
6.3,3.4,5.6,2.4,Iris-virginica,2.482E-214,3.89567E-10,0.039982802,0.039982802,Iris-virginica,1,,,,,
6.4,3.1,5.5,1.8,Iris-virginica,5.5682E-167,0.000370961,0.169250663,0.169250663,Iris-virginica,1,,,,,
6,3,4.8,1.8,Iris-virginica,3.354E-128,0.012309731,0.049242178,0.049242178,Iris-virginica,1,,,,,
6.9,3.1,5.4,2.1,Iris-virginica,1.9241E-183,1.38834E-06,0.205096727,0.205096727,Iris-virginica,1,,,,,
6.7,3.1,5.6,2.4,Iris-virginica,1.4296E-216,7.21026E-10,0.096701299,0.096701299,Iris-virginica,1,,,,,
6.9,3.1,5.1,2.3,Iris-virginica,7.713E-182,6.10066E-08,0.096032993,0.096032993,Iris-virginica,1,,,,,
5.8,2.7,5.1,1.9,Iris-virginica,3.0648E-149,0.001567877,0.055981444,0.055981444,Iris-virginica,1,,,,,
6.8,3.2,5.9,2.3,Iris-virginica,1.084E-227,6.5423E-10,0.099170662,0.099170662,Iris-virginica,1,,,,,
6.7,3.3,5.7,2.5,Iris-virginica,8.1621E-231,9.05752E-12,0.034562286,0.034562286,Iris-virginica,1,,,,,
6.7,3,5.2,2.3,Iris-virginica,5.1766E-186,1.03633E-07,0.130922957,0.130922957,Iris-virginica,1,,,,,
6.3,2.5,5,1.9,Iris-virginica,2.2151E-146,0.001281797,0.044982872,0.044982872,Iris-virginica,1,,,,,
6.5,3,5.2,2,Iris-virginica,2.7149E-163,9.48974E-05,0.215659274,0.215659274,Iris-virginica,1,,,,,
6.2,3.4,5.4,2.3,Iris-virginica,2.6999E-194,1.84812E-08,0.054610965,0.054610965,Iris-virginica,1,,,,,
5.9,3,5.1,1.8,Iris-virginica,5.8801E-143,0.004846293,0.07608843,0.07608843,Iris-virginica,1,,,,,
